n_components,mean_ll,two_betas,log_bf,bf
1,21805.171150334056,22192.787108496126,387.61595816207046,2185102064876985e153
3,22014.623708358158,22192.787108496126,178.16340013796798,2373458033134316e62
4,21098.31904208107,22192.787108496126,1094.4680664150546,Inf
