distribution,D,pval
0/25,0.52,1.0097940261744043e-9
0/50,0.31222222222222223,8.940301911966042e-4
0/75,0.3357969391564017,6.428665311830617e-5
0/100,0.307936507936508,0.0017730558253942208
25/50,0.23207885304659504,0.013919125964447665
25/75,0.3155555555555556,3.4239654938161834e-4
25/100,0.2901484480431849,0.001190631511985285
50/100,0.17435897435897435,0.13683485496099568
75/100,0.2212624584717608,0.06810347017934937
uniform,0.24699954191479617,0.008521713393544017
