semantics,r2,MSE,log_bf
Uncertain threshold,0.9601257578853669,0.0030182915918722216,0
Prevalence Prior,0.6091531074866787,0.2706923245993309,-5237.271214289493
Some (0\% threshold),0.9224447138358023,0.016202183451074718,-1204.8431865721232
10\% threshold,0.9039497850436482,0.013155947621940943,-1232.3044511863973
20\% threshold,0.8307313640179875,0.013202738707864288,-987.2570066531616
Most (50\% threshold),0.6169562995588724,0.02270299032228116,-868.378052152394
Best fixed-threshold,0.1953694831648924,0.0342618320504275,-586.333756398838
