model,r2,mse,log_bf
Uncertain threshold,0.946335915156585,0.0014091157652506888,0
10\% threshold,0.8927108433767762,0.008916274315964798,-38.86655802559426
Some (0\% threshold),0.9378893453983457,0.007154146737011029,-133.9071499303002
20\% threshold,0.8799197743702217,0.00611193056775126,-62.47390818555738
40\% threshold),0.7168326167469898,0.013828127587306761,-32.76173390136893
Prevalence Prior,0.84202105164675,0.02397152432754503,-117.28634877094237
